Path,Disease
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-140-_JPG_jpg.rf.646b900017d2ca454d7ac8fa7292abe3.jpg,tonsillitis
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/72.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/336.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/460.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/200.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/267.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-121-_JPG_jpg.rf.d9ca6e098e02b763d4e446e8869f4b7e.jpg,pharyngitis
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/161.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/google/mononucleosis/32.png,mononucleosis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-122-_JPG_jpg.rf.06d7370cb15be5540b56745c9d669419.jpg,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/google/healthy/5.jpg,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-156-_JPG_jpg.rf.11db690b1dfa8e7285baf9da7b1539a2.jpg,pharyngitis
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/178.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/google/tonsilities/2.png,tonsillitis
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/189.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/465.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/402.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/428.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/470.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/google/mononucleosis/47.png,mononucleosis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/google/mononucleosis/35.png,mononucleosis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-139-_JPG_jpg.rf.fbecdc23d8e274442857a270e99a005e.jpg,tonsillitis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/valid/3/nopharyngitis-8-_JPG_jpg.rf.a5fb589de8319d717130cb9d1b5178df.jpg,tonsillitis
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/126.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/google/pharyngitis/11.png,pharyngitis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-122-_JPG_jpg.rf.d804665ae28cf249ac8b7da6af3e8dac.jpg,tonsillitis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/kaggle/39.jpg,tonsillitis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-203-_JPG_jpg.rf.d4fe7665de5a3722c8443a79c2cccc21.jpg,tonsillitis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-57-_jpg.rf.58e61c579eb29ff1a57386593979a199.jpg,pharyngitis
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/130.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-8-_JPG_jpg.rf.36b5de4a2c3844459079ef8317e3d95f.jpg,tonsillitis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-15-_JPG_jpg.rf.02e29bda466ab3500138e535288a5070.jpg,pharyngitis
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/441.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-167-_JPG_jpg.rf.45d6ba5bd76f2abdb88ca5b0100ea893.jpg,pharyngitis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/google/pharyngitis/27.png,pharyngitis
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-177-_JPG_jpg.rf.86e6ddb2c1d906032774061ffadb6fe9.jpg,pharyngitis
/home/mgherghinescu/projects/TenserflowModelTraining/src/model/gann/generated_images/26.png,healthy
/home/mgherghinescu/projects/TenserflowModelTraining/bucal_cavity_diseases_dataset/train/3/nopharyngitis-195-_JPG_jpg.rf.b1f83b0334ca4a6b8ea3991f9f1c7d48.jpg,pharyngitis
